0,user_id,checkout_page,order_value,purchased,gender,browser,time_on_page
0,877621,A,29.410,1.0,F,chrome,66.169
1,876599,A,NaN,0.0,M,firefox,49.802
2,905407,A,27.447,1.0,M,chrome,56.745
3,883562,A,30.602,1.0,M,safari,71.891
4,840542,A,29.669,1.0,F,safari,67.411
5,861142,A,22.557,1.0,F,safari,33.273
6,852680,A,27.375,1.0,F,safari,56.401
7,867863,A,NaN,0.0,M,safari,43.184
8,873787,A,24.742,1.0,M,safari,43.761
9,890765,A,26.026,1.0,M,safari,49.927
10,849850,A,25.360,1.0,F,firefox,46.729
11,895814,A,NaN,0.0,M,firefox,62.451
12,913677,A,NaN,0.0,M,chrome,54.132
13,874586,A,25.304,1.0,F,firefox,46.460
14,908947,A,26.110,1.0,F,safari,50.326
15,913089,A,25.834,1.0,F,safari,49.004
16,859614,A,28.735,1.0,F,chrome,62.929
17,835521,A,24.487,1.0,M,chrome,42.538
18,844910,A,25.783,1.0,F,firefox,48.757
19,875422,A,22.865,1.0,F,safari,34.751
20,834734,A,18.618,1.0,M,safari,14.364
21,893632,A,26.634,1.0,F,chrome,52.843
22,881551,A,27.161,1.0,F,chrome,55.373
23,867918,A,23.145,1.0,F,chrome,36.094
24,887062,A,30.674,1.0,F,firefox,72.237
25,849203,A,21.364,1.0,M,firefox,27.548
26,881161,A,25.114,1.0,F,firefox,45.549
27,857346,A,24.532,1.0,M,firefox,42.754
28,859021,A,28.832,1.0,M,chrome,63.393
29,845277,A,28.673,1.0,F,chrome,62.632
30,912261,A,25.387,1.0,M,safari,46.859
31,884255,A,25.945,1.0,F,firefox,49.538
32,853808,A,22.781,1.0,F,chrome,34.347
33,857126,A,NaN,0.0,M,safari,21.230
34,893180,A,NaN,0.0,M,chrome,40.825
35,854140,A,25.391,1.0,M,safari,46.876
36,843080,A,28.076,1.0,F,firefox,59.763
37,903017,A,28.006,1.0,F,firefox,59.429
38,858653,A,24.032,1.0,M,firefox,40.352
39,846771,A,24.244,1.0,F,firefox,41.372
40,874652,A,22.379,1.0,F,safari,32.417
41,843767,A,21.450,1.0,F,safari,27.960
42,839576,A,20.734,1.0,F,safari,24.525
43,846343,A,NaN,0.0,M,firefox,68.409
44,891579,A,23.726,1.0,F,safari,38.884
45,886907,A,23.905,1.0,M,firefox,39.743
46,870013,A,21.868,1.0,F,firefox,29.966
47,885559,A,26.944,1.0,M,safari,54.330
48,874499,A,20.965,1.0,M,chrome,25.633
49,910191,A,24.468,1.0,F,chrome,42.447
50,901351,A,NaN,0.0,M,chrome,34.254
51,849193,A,25.967,1.0,M,safari,49.643
52,912683,A,NaN,0.0,M,firefox,38.870
53,905004,A,NaN,0.0,M,safari,30.832
54,869086,A,24.930,1.0,M,firefox,44.662
55,889161,A,NaN,0.0,M,chrome,50.140
56,901299,A,25.166,1.0,F,safari,45.798
57,904464,A,25.756,1.0,F,chrome,48.630
58,880340,A,23.414,1.0,F,chrome,37.388
59,861777,A,24.093,1.0,F,safari,40.647
60,843940,A,23.319,1.0,F,firefox,36.930
61,848694,A,24.101,1.0,F,firefox,40.685
62,852178,A,NaN,0.0,M,firefox,35.242
63,875636,A,20.684,1.0,F,firefox,24.285
64,856037,A,25.444,1.0,F,chrome,47.129
65,903146,A,23.996,1.0,M,firefox,40.179
66,889579,A,20.925,1.0,F,safari,25.438
67,838038,A,26.157,1.0,M,firefox,50.553
68,898890,A,22.732,1.0,F,safari,34.112
69,899569,A,NaN,0.0,M,chrome,45.623
70,842974,A,26.823,1.0,M,chrome,53.749
71,850486,A,25.322,1.0,F,chrome,46.548
72,856974,A,27.849,1.0,F,chrome,58.673
73,863579,A,21.913,1.0,M,safari,30.182
74,871399,A,26.006,1.0,M,chrome,49.828
